Trigger_date,Effective_date,Variable,Threshold,Direction,Previous_deviation,Deviation
2026-01-02,2026-01-04,copper_vs_ma20,0.03,inward,0.0416572412008375,0.0278502912528431
2026-01-04,2026-01-05,copper_vs_ma20,0.03,outward,0.0278502912528431,0.0739894335471849
2026-01-08,2026-01-09,copper_vs_ma20,0.03,inward,0.0372548013189357,0.0219706499691019
2026-01-09,2026-01-12,copper_vs_ma20,0.03,outward,0.0219706499691019,0.0361789267275354
2026-01-12,2026-01-13,gold_vs_ma20,0.03,outward,0.0152273493228503,0.0374858188301774
2026-01-16,2026-01-18,copper_vs_ma20,0.03,inward,0.0305235520598001,0.0001526557817947
2026-01-16,2026-01-18,gold_vs_ma20,0.03,inward,0.0310892115206786,0.0232143093291188
2026-01-18,2026-01-19,gold_vs_ma20,0.03,outward,0.0232143093291188,0.058126271745547
2026-01-29,2026-01-30,copper_vs_ma20,0.03,outward,-0.0030746138984719,0.0465467415931262
2026-01-30,2026-02-02,copper_vs_ma20,0.03,inward,0.0465467415931262,-0.0001713075831875
2026-01-30,2026-02-02,gold_vs_ma20,0.03,inward,0.1183905312349451,-0.0116066510076925
2026-02-02,2026-02-03,gold_vs_ma20,0.03,outward,-0.0116066510076925,-0.0321945726783298
2026-02-03,2026-02-04,gold_vs_ma20,0.03,inward,-0.0321945726783298,0.0218192172292928
2026-02-09,2026-02-10,gold_vs_ma20,0.03,outward,0.0190957347931686,0.0347003114815893
2026-02-10,2026-02-11,gold_vs_ma20,0.03,inward,0.0347003114815893,0.0211034071088433
2026-02-11,2026-02-12,gold_vs_ma20,0.03,outward,0.0211034071088433,0.0301534784957293
2026-02-12,2026-02-13,gold_vs_ma20,0.03,inward,0.0301534784957293,-0.0032824085612515
2026-02-14,2026-02-15,gold_vs_ma20,0.03,outward,0.0139237841239563,0.036790772636178
2026-02-16,2026-02-17,gold_vs_ma20,0.03,inward,0.0326769674365585,0.0293370091152045
2026-02-17,2026-02-18,copper_vs_ma20,0.03,outward,-0.0220772517030828,-0.0308500281196213
2026-02-18,2026-02-19,copper_vs_ma20,0.03,inward,-0.0308500281196213,-0.0031191844722593
2026-02-25,2026-02-26,gold_vs_ma20,0.03,outward,0.026568138695749,0.0315851602585655
