Year,Features_only,Triggers_only,Features_and_triggers
2015,4.9145745552001445,3.625239922147762,4.066660829829691
2016,3.885729587199307,3.3937132853251417,3.48097073381401
2017,3.6366069797556433,3.99898983973586,3.6366069797556433
2018,4.2159321949378645,3.652622637914475,3.7461645789855473
2019,4.131242380250603,3.8267679174571696,3.94706105336657
2020,5.106115450817728,4.51545386448362,4.160346231583665
2021,4.677556841226404,5.268435872464682,4.28215932212365
2022,6.3482460409687596,4.887870176566048,4.820190657722455
2023,4.004486644791026,4.0173931796466675,3.89716374237542
2024,4.473338435826069,4.787962715206335,4.405006813866988
2025,6.035473626050222,6.414132428285203,5.64361854873601
2026,5.096699420315842,4.730588248582554,4.985865465418195
