Year,Method,N,MAPE,MSE,MAE,Updates,Models,Start,End
2015,Features_only,266,4.9145745552001445,0.11709081070071048,0.22602417706766917,60,61,2015-01-01,2015-12-31
2015,Triggers_only,266,3.625239922147762,0.06096867447959582,0.16267361766917293,112,113,2015-01-01,2015-12-31
2015,Features_and_triggers,266,4.066660829829691,0.07523801554695439,0.18320635827067672,112,113,2015-01-01,2015-12-31
2016,Features_only,268,3.885729587199307,0.030902479396629507,0.12902785932835817,60,61,2016-01-01,2016-12-31
2016,Triggers_only,268,3.3937132853251417,0.020840653519324886,0.11336611305970148,84,85,2016-01-01,2016-12-31
2016,Features_and_triggers,268,3.48097073381401,0.022735698024918757,0.11566370783582088,84,85,2016-01-01,2016-12-31
2017,Features_only,267,3.6366069797556433,0.03912009640867131,0.13445902696629214,43,44,2017-01-02,2017-12-31
2017,Triggers_only,267,3.99898983973586,0.043173214947947146,0.14758756966292136,43,44,2017-01-02,2017-12-31
2017,Features_and_triggers,267,3.6366069797556433,0.03912009640867131,0.13445902696629214,43,44,2017-01-02,2017-12-31
2018,Features_only,269,4.2159321949378645,0.07154478804116808,0.17288045167286248,32,33,2018-01-01,2018-12-31
2018,Triggers_only,269,3.652622637914475,0.06311006422656609,0.15359902007434945,51,52,2018-01-01,2018-12-31
2018,Features_and_triggers,269,3.7461645789855473,0.062344146335314356,0.15595693457249074,51,52,2018-01-01,2018-12-31
2019,Features_only,271,4.131242380250603,0.030303340523656495,0.14068904317343175,34,35,2019-01-01,2019-12-31
2019,Triggers_only,271,3.8267679174571696,0.02829955686953082,0.1322640225092251,57,58,2019-01-01,2019-12-31
2019,Features_and_triggers,271,3.94706105336657,0.02869797331277498,0.13495771365313652,57,58,2019-01-01,2019-12-31
2020,Features_only,271,5.106115450817728,0.17117808655790961,0.3064610243542436,58,59,2020-01-01,2020-12-31
2020,Triggers_only,271,4.51545386448362,0.13753721960255869,0.2734179442804428,107,108,2020-01-01,2020-12-31
2020,Features_and_triggers,271,4.160346231583665,0.13212721967460128,0.25472843948339485,107,108,2020-01-01,2020-12-31
2021,Features_only,272,4.677556841226404,0.44152629408440897,0.5084638253676469,54,55,2021-01-01,2021-12-31
2021,Triggers_only,272,5.268435872464682,0.5015316104623079,0.5702599466911764,82,83,2021-01-01,2021-12-31
2021,Features_and_triggers,272,4.28215932212365,0.3680452091560423,0.4654738823529411,82,83,2021-01-01,2021-12-31
2022,Features_only,274,6.3482460409687596,0.5811741866245502,0.6229026952554745,64,65,2022-01-03,2022-12-31
2022,Triggers_only,274,4.887870176566048,0.31107884120122653,0.473293005109489,105,106,2022-01-03,2022-12-31
2022,Features_and_triggers,274,4.820190657722455,0.3234459437623737,0.471950445620438,105,106,2022-01-03,2022-12-31
2023,Features_only,273,4.004486644791026,0.3686473891104789,0.48777184798534795,67,68,2023-01-02,2023-12-31
2023,Triggers_only,273,4.0173931796466675,0.3919608078172518,0.4888994706959706,76,77,2023-01-02,2023-12-31
2023,Features_and_triggers,273,3.89716374237542,0.35654700014524443,0.4745829249084249,76,77,2023-01-02,2023-12-31
2024,Features_only,273,4.473338435826069,0.8416011782744706,0.7178655567765566,65,66,2024-01-01,2024-12-31
2024,Triggers_only,273,4.787962715206335,0.9834150810567032,0.7711090146520146,72,73,2024-01-01,2024-12-31
2024,Features_and_triggers,273,4.405006813866988,0.8089564653849395,0.7056313516483516,72,73,2024-01-01,2024-12-31
2025,Features_only,268,6.035473626050222,3.125224517681472,1.318177979477612,88,89,2025-01-01,2025-12-31
2025,Triggers_only,268,6.414132428285203,3.200618547333861,1.3799251641791048,99,100,2025-01-01,2025-12-31
2025,Features_and_triggers,268,5.64361854873601,2.742110230307663,1.2379137444029853,99,100,2025-01-01,2025-12-31
2026,Features_only,152,5.096699420315842,4.421930100296703,1.648691690789473,52,53,2026-01-01,2026-07-23
2026,Triggers_only,152,4.730588248582554,3.9548805203773574,1.5348303289473688,59,60,2026-01-01,2026-07-23
2026,Features_and_triggers,152,4.985865465418195,4.164558784890947,1.6145841447368414,59,60,2026-01-01,2026-07-23
