Year,Features_only,Triggers_only,Features_and_triggers
2015,0.11709081070071048,0.06096867447959582,0.07523801554695439
2016,0.030902479396629507,0.020840653519324886,0.022735698024918757
2017,0.03912009640867131,0.043173214947947146,0.03912009640867131
2018,0.07154478804116808,0.06311006422656609,0.062344146335314356
2019,0.030303340523656495,0.02829955686953082,0.02869797331277498
2020,0.17117808655790961,0.13753721960255869,0.13212721967460128
2021,0.44152629408440897,0.5015316104623079,0.3680452091560423
2022,0.5811741866245502,0.31107884120122653,0.3234459437623737
2023,0.3686473891104789,0.3919608078172518,0.35654700014524443
2024,0.8416011782744706,0.9834150810567032,0.8089564653849395
2025,3.125224517681472,3.200618547333861,2.742110230307663
2026,4.421930100296703,3.9548805203773574,4.164558784890947
