Method,Effective_date,Trigger_date,Seed,N,Applied_end,Year
Features_only,2015-01-01,,550343,3,2015-01-04,2015
Features_only,2015-01-05,2015-01-04,550343,2,2015-01-06,2015
Features_only,2015-01-07,2015-01-06,965409,4,2015-01-12,2015
Features_only,2015-01-13,2015-01-12,550343,3,2015-01-15,2015
Features_only,2015-01-16,2015-01-15,42716,7,2015-01-26,2015
Features_only,2015-01-27,2015-01-26,640934,1,2015-01-27,2015
Features_only,2015-01-28,2015-01-27,640934,1,2015-01-28,2015
Features_only,2015-01-29,2015-01-28,640934,4,2015-02-03,2015
Features_only,2015-02-04,2015-02-03,550343,5,2015-02-10,2015
Features_only,2015-02-11,2015-02-10,550343,10,2015-02-23,2015
Features_only,2015-02-24,2015-02-23,640934,3,2015-02-26,2015
Features_only,2015-02-27,2015-02-26,640934,4,2015-03-03,2015
Features_only,2015-03-04,2015-03-03,42716,3,2015-03-06,2015
Features_only,2015-03-09,2015-03-06,42716,1,2015-03-09,2015
Features_only,2015-03-10,2015-03-09,42716,1,2015-03-10,2015
Features_only,2015-03-11,2015-03-10,42716,4,2015-03-16,2015
Features_only,2015-03-17,2015-03-16,42716,1,2015-03-17,2015
Features_only,2015-03-18,2015-03-17,42716,1,2015-03-18,2015
Features_only,2015-03-19,2015-03-18,42716,2,2015-03-20,2015
Features_only,2015-03-23,2015-03-20,42716,5,2015-03-27,2015
Features_only,2015-03-30,2015-03-27,42716,1,2015-03-30,2015
Features_only,2015-03-31,2015-03-30,42716,1,2015-03-31,2015
Features_only,2015-04-01,2015-03-31,550343,22,2015-04-30,2015
Features_only,2015-05-01,2015-04-30,374583,10,2015-05-14,2015
Features_only,2015-05-15,2015-05-14,374583,7,2015-05-25,2015
Features_only,2015-05-26,2015-05-25,374583,11,2015-06-09,2015
Features_only,2015-06-10,2015-06-09,374583,2,2015-06-11,2015
Features_only,2015-06-12,2015-06-11,374583,1,2015-06-12,2015
Features_only,2015-06-15,2015-06-12,374583,1,2015-06-15,2015
Features_only,2015-06-16,2015-06-15,374583,6,2015-06-23,2015
Features_only,2015-06-24,2015-06-23,385735,8,2015-07-03,2015
