日期,数值,曲线,面板
2020-01-01,100.0,股价,价格指数（年初=100）
2020-01-02,100.0,股价,价格指数（年初=100）
2020-01-03,101.05263157894737,股价,价格指数（年初=100）
2020-01-06,102.31578947368422,股价,价格指数（年初=100）
2020-01-07,98.3157894736842,股价,价格指数（年初=100）
2020-01-08,98.94736842105263,股价,价格指数（年初=100）
2020-01-09,94.94736842105263,股价,价格指数（年初=100）
2020-01-10,95.57894736842105,股价,价格指数（年初=100）
2020-01-13,97.47368421052632,股价,价格指数（年初=100）
2020-01-14,99.78947368421052,股价,价格指数（年初=100）
2020-01-15,96.84210526315788,股价,价格指数（年初=100）
2020-01-16,95.1578947368421,股价,价格指数（年初=100）
2020-01-17,97.26315789473684,股价,价格指数（年初=100）
2020-01-19,95.57894736842105,股价,价格指数（年初=100）
2020-01-20,95.57894736842105,股价,价格指数（年初=100）
2020-01-21,91.78947368421053,股价,价格指数（年初=100）
2020-01-22,93.26315789473684,股价,价格指数（年初=100）
2020-01-23,90.3157894736842,股价,价格指数（年初=100）
2020-01-24,81.26315789473684,股价,价格指数（年初=100）
2020-01-27,81.26315789473684,股价,价格指数（年初=100）
2020-01-28,81.26315789473684,股价,价格指数（年初=100）
2020-01-29,81.26315789473684,股价,价格指数（年初=100）
2020-01-30,81.26315789473684,股价,价格指数（年初=100）
2020-01-31,81.26315789473684,股价,价格指数（年初=100）
2020-02-03,81.26315789473684,股价,价格指数（年初=100）
2020-02-04,83.78947368421052,股价,价格指数（年初=100）
2020-02-05,84.84210526315789,股价,价格指数（年初=100）
2020-02-06,86.94736842105263,股价,价格指数（年初=100）
2020-02-07,86.3157894736842,股价,价格指数（年初=100）
2020-02-10,88.42105263157895,股价,价格指数（年初=100）
2020-02-11,89.26315789473684,股价,价格指数（年初=100）
2020-02-12,90.52631578947368,股价,价格指数（年初=100）
2020-02-13,90.94736842105263,股价,价格指数（年初=100）
2020-02-14,95.57894736842105,股价,价格指数（年初=100）
2020-02-16,97.05263157894738,股价,价格指数（年初=100）
2020-02-17,97.05263157894738,股价,价格指数（年初=100）
2020-02-18,96.21052631578948,股价,价格指数（年初=100）
2020-02-19,96.63157894736842,股价,价格指数（年初=100）
2020-02-20,96.63157894736842,股价,价格指数（年初=100）
2020-02-21,98.94736842105263,股价,价格指数（年初=100）
2020-02-24,99.36842105263158,股价,价格指数（年初=100）
2020-02-25,96.21052631578948,股价,价格指数（年初=100）
2020-02-26,91.78947368421053,股价,价格指数（年初=100）
