Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2016-01-01,741131,2012-06-05,2015-12-31,960,2016-01-01,2016-01-01,1,10
MACD,2016-01-01,741131,2012-06-05,2015-12-31,960,2016-01-01,2016-01-01,1,11
Both,2016-01-01,741131,2012-06-05,2015-12-31,960,2016-01-01,2016-01-01,1,12
RSI,2016-01-04,640934,2012-06-05,2016-01-01,961,2016-01-04,2016-01-06,3,10
MACD,2016-01-04,640934,2012-06-05,2016-01-01,961,2016-01-04,2016-01-06,3,11
Both,2016-01-04,640934,2012-06-05,2016-01-01,961,2016-01-04,2016-01-06,3,12
RSI,2016-01-07,640934,2012-06-05,2016-01-06,964,2016-01-07,2016-01-07,1,10
MACD,2016-01-07,640934,2012-06-05,2016-01-06,964,2016-01-07,2016-01-07,1,11
Both,2016-01-07,640934,2012-06-05,2016-01-06,964,2016-01-07,2016-01-07,1,12
RSI,2016-01-08,640934,2012-06-05,2016-01-07,965,2016-01-08,2016-01-08,1,10
MACD,2016-01-08,640934,2012-06-05,2016-01-07,965,2016-01-08,2016-01-08,1,11
Both,2016-01-08,640934,2012-06-05,2016-01-07,965,2016-01-08,2016-01-08,1,12
RSI,2016-01-11,640934,2012-06-05,2016-01-08,966,2016-01-11,2016-01-19,7,10
MACD,2016-01-11,640934,2012-06-05,2016-01-08,966,2016-01-11,2016-01-19,7,11
Both,2016-01-11,640934,2012-06-05,2016-01-08,966,2016-01-11,2016-01-19,7,12
RSI,2016-01-20,640934,2012-06-05,2016-01-19,973,2016-01-20,2016-01-21,2,10
MACD,2016-01-20,640934,2012-06-05,2016-01-19,973,2016-01-20,2016-01-21,2,11
Both,2016-01-20,640934,2012-06-05,2016-01-19,973,2016-01-20,2016-01-21,2,12
RSI,2016-01-22,565766,2012-06-05,2016-01-21,975,2016-01-22,2016-01-22,1,10
MACD,2016-01-22,565766,2012-06-05,2016-01-21,975,2016-01-22,2016-01-22,1,11
Both,2016-01-22,565766,2012-06-05,2016-01-21,975,2016-01-22,2016-01-22,1,12
RSI,2016-01-25,565766,2012-06-05,2016-01-22,976,2016-01-25,2016-01-26,2,10
MACD,2016-01-25,565766,2012-06-05,2016-01-22,976,2016-01-25,2016-01-26,2,11
Both,2016-01-25,565766,2012-06-05,2016-01-22,976,2016-01-25,2016-01-26,2,12
RSI,2016-01-27,565766,2012-06-05,2016-01-26,978,2016-01-27,2016-02-02,5,10
MACD,2016-01-27,565766,2012-06-05,2016-01-26,978,2016-01-27,2016-02-02,5,11
Both,2016-01-27,565766,2012-06-05,2016-01-26,978,2016-01-27,2016-02-02,5,12
RSI,2016-02-03,565766,2012-06-05,2016-02-02,983,2016-02-03,2016-02-03,1,10
MACD,2016-02-03,565766,2012-06-05,2016-02-02,983,2016-02-03,2016-02-03,1,11
Both,2016-02-03,565766,2012-06-05,2016-02-02,983,2016-02-03,2016-02-03,1,12
RSI,2016-02-04,565766,2012-06-05,2016-02-03,984,2016-02-04,2016-02-06,3,10
MACD,2016-02-04,565766,2012-06-05,2016-02-03,984,2016-02-04,2016-02-06,3,11
Both,2016-02-04,565766,2012-06-05,2016-02-03,984,2016-02-04,2016-02-06,3,12
RSI,2016-02-08,565766,2012-06-05,2016-02-06,987,2016-02-08,2016-02-08,1,10
MACD,2016-02-08,565766,2012-06-05,2016-02-06,987,2016-02-08,2016-02-08,1,11
Both,2016-02-08,565766,2012-06-05,2016-02-06,987,2016-02-08,2016-02-08,1,12
RSI,2016-02-09,565766,2012-06-05,2016-02-08,988,2016-02-09,2016-02-12,4,10
MACD,2016-02-09,565766,2012-06-05,2016-02-08,988,2016-02-09,2016-02-12,4,11
Both,2016-02-09,565766,2012-06-05,2016-02-08,988,2016-02-09,2016-02-12,4,12
RSI,2016-02-14,565766,2012-06-05,2016-02-12,992,2016-02-14,2016-02-22,7,10
MACD,2016-02-14,565766,2012-06-05,2016-02-12,992,2016-02-14,2016-02-22,7,11
Both,2016-02-14,565766,2012-06-05,2016-02-12,992,2016-02-14,2016-02-22,7,12
RSI,2016-02-23,565766,2012-06-05,2016-02-22,999,2016-02-23,2016-02-24,2,10
MACD,2016-02-23,565766,2012-06-05,2016-02-22,999,2016-02-23,2016-02-24,2,11
Both,2016-02-23,565766,2012-06-05,2016-02-22,999,2016-02-23,2016-02-24,2,12
RSI,2016-02-25,565766,2012-06-05,2016-02-24,1001,2016-02-25,2016-02-26,2,10
MACD,2016-02-25,565766,2012-06-05,2016-02-24,1001,2016-02-25,2016-02-26,2,11
Both,2016-02-25,565766,2012-06-05,2016-02-24,1001,2016-02-25,2016-02-26,2,12
RSI,2016-02-29,565766,2012-06-05,2016-02-26,1003,2016-02-29,2016-02-29,1,10
MACD,2016-02-29,565766,2012-06-05,2016-02-26,1003,2016-02-29,2016-02-29,1,11
Both,2016-02-29,565766,2012-06-05,2016-02-26,1003,2016-02-29,2016-02-29,1,12
RSI,2016-03-01,565766,2012-06-05,2016-02-29,1004,2016-03-01,2016-03-01,1,10
MACD,2016-03-01,565766,2012-06-05,2016-02-29,1004,2016-03-01,2016-03-01,1,11
Both,2016-03-01,565766,2012-06-05,2016-02-29,1004,2016-03-01,2016-03-01,1,12
RSI,2016-03-02,565766,2012-06-05,2016-03-01,1005,2016-03-02,2016-03-04,3,10
MACD,2016-03-02,565766,2012-06-05,2016-03-01,1005,2016-03-02,2016-03-04,3,11
Both,2016-03-02,565766,2012-06-05,2016-03-01,1005,2016-03-02,2016-03-04,3,12
RSI,2016-03-07,565766,2012-06-05,2016-03-04,1008,2016-03-07,2016-03-07,1,10
MACD,2016-03-07,565766,2012-06-05,2016-03-04,1008,2016-03-07,2016-03-07,1,11
Both,2016-03-07,565766,2012-06-05,2016-03-04,1008,2016-03-07,2016-03-07,1,12
RSI,2016-03-08,565766,2012-06-05,2016-03-07,1009,2016-03-08,2016-03-08,1,10
MACD,2016-03-08,565766,2012-06-05,2016-03-07,1009,2016-03-08,2016-03-08,1,11
Both,2016-03-08,565766,2012-06-05,2016-03-07,1009,2016-03-08,2016-03-08,1,12
RSI,2016-03-09,550343,2012-06-05,2016-03-08,1010,2016-03-09,2016-03-16,6,10
MACD,2016-03-09,550343,2012-06-05,2016-03-08,1010,2016-03-09,2016-03-16,6,11
Both,2016-03-09,550343,2012-06-05,2016-03-08,1010,2016-03-09,2016-03-16,6,12
RSI,2016-03-17,550343,2012-06-05,2016-03-16,1016,2016-03-17,2016-03-17,1,10
MACD,2016-03-17,550343,2012-06-05,2016-03-16,1016,2016-03-17,2016-03-17,1,11
Both,2016-03-17,550343,2012-06-05,2016-03-16,1016,2016-03-17,2016-03-17,1,12
RSI,2016-03-18,550343,2012-06-05,2016-03-17,1017,2016-03-18,2016-03-21,2,10
MACD,2016-03-18,550343,2012-06-05,2016-03-17,1017,2016-03-18,2016-03-21,2,11
Both,2016-03-18,550343,2012-06-05,2016-03-17,1017,2016-03-18,2016-03-21,2,12
RSI,2016-03-22,550343,2012-06-05,2016-03-21,1019,2016-03-22,2016-03-23,2,10
MACD,2016-03-22,550343,2012-06-05,2016-03-21,1019,2016-03-22,2016-03-23,2,11
Both,2016-03-22,550343,2012-06-05,2016-03-21,1019,2016-03-22,2016-03-23,2,12
RSI,2016-03-24,385735,2012-06-05,2016-03-23,1021,2016-03-24,2016-03-24,1,10
MACD,2016-03-24,385735,2012-06-05,2016-03-23,1021,2016-03-24,2016-03-24,1,11
Both,2016-03-24,385735,2012-06-05,2016-03-23,1021,2016-03-24,2016-03-24,1,12
RSI,2016-03-25,550343,2012-06-05,2016-03-24,1022,2016-03-25,2016-04-01,6,10
MACD,2016-03-25,550343,2012-06-05,2016-03-24,1022,2016-03-25,2016-04-01,6,11
Both,2016-03-25,550343,2012-06-05,2016-03-24,1022,2016-03-25,2016-04-01,6,12
RSI,2016-04-04,550343,2012-06-05,2016-04-01,1028,2016-04-04,2016-04-12,7,10
MACD,2016-04-04,550343,2012-06-05,2016-04-01,1028,2016-04-04,2016-04-12,7,11
Both,2016-04-04,550343,2012-06-05,2016-04-01,1028,2016-04-04,2016-04-12,7,12
RSI,2016-04-13,640934,2012-06-05,2016-04-12,1035,2016-04-13,2016-04-20,6,10
MACD,2016-04-13,640934,2012-06-05,2016-04-12,1035,2016-04-13,2016-04-20,6,11
Both,2016-04-13,640934,2012-06-05,2016-04-12,1035,2016-04-13,2016-04-20,6,12
RSI,2016-04-21,640934,2012-06-05,2016-04-20,1041,2016-04-21,2016-04-26,4,10
MACD,2016-04-21,640934,2012-06-05,2016-04-20,1041,2016-04-21,2016-04-26,4,11
Both,2016-04-21,640934,2012-06-05,2016-04-20,1041,2016-04-21,2016-04-26,4,12
RSI,2016-04-27,640934,2012-06-05,2016-04-26,1045,2016-04-27,2016-04-29,3,10
MACD,2016-04-27,640934,2012-06-05,2016-04-26,1045,2016-04-27,2016-04-29,3,11
Both,2016-04-27,640934,2012-06-05,2016-04-26,1045,2016-04-27,2016-04-29,3,12
RSI,2016-05-02,965409,2012-06-05,2016-04-29,1048,2016-05-02,2016-05-03,2,10
MACD,2016-05-02,965409,2012-06-05,2016-04-29,1048,2016-05-02,2016-05-03,2,11
Both,2016-05-02,965409,2012-06-05,2016-04-29,1048,2016-05-02,2016-05-03,2,12
RSI,2016-05-04,965409,2012-06-05,2016-05-03,1050,2016-05-04,2016-05-04,1,10
MACD,2016-05-04,965409,2012-06-05,2016-05-03,1050,2016-05-04,2016-05-04,1,11
Both,2016-05-04,965409,2012-06-05,2016-05-03,1050,2016-05-04,2016-05-04,1,12
RSI,2016-05-05,741131,2012-06-05,2016-05-04,1051,2016-05-05,2016-05-09,3,10
MACD,2016-05-05,741131,2012-06-05,2016-05-04,1051,2016-05-05,2016-05-09,3,11
