Year,Baseline,RSI,MACD,Both
2015,4.066660829829691,3.551861296581925,3.919922041020147,3.309732366822226
2016,3.48097073381401,3.117913808738315,3.158614474403433,3.0017518868879147
2017,3.6366069797556433,3.34847183944392,3.239586764385198,2.8827458778418675
2018,3.7461645789855473,2.9155574013704175,3.004658832850877,2.9258574457497364
2019,3.94706105336657,3.5108775019042726,3.471485419905021,3.6196458448744098
2020,4.160346231583665,3.780674363556534,4.288343060284657,3.8644722924452815
2021,4.28215932212365,3.943875201252834,3.97043733301156,4.401117278626768
2022,4.820190657722455,4.39436521643607,3.710874535149517,3.3482503130557277
2023,3.89716374237542,3.2821994333836515,3.401375159848088,3.4332863761164742
2024,4.405006813866988,4.413029420551494,4.035270371877508,3.7346035760253167
2025,5.64361854873601,5.833054799561448,5.026816333888378,4.725104967224939
2026,4.985865465418195,4.9949124325910494,4.642585468051776,5.077737392065478
