Year,Method,N,MAPE,MSE,MAE,Updates,Models,Start,End
2015,Baseline,266,4.066660829829691,0.0752380155469543,0.1832063582706767,112,113,2015-01-01,2015-12-31
2015,RSI,266,3.551861296581925,0.0507594275656408,0.1569014342745444,112,113,2015-01-01,2015-12-31
2015,MACD,266,3.919922041020147,0.0699007953854687,0.1745620684157637,112,113,2015-01-01,2015-12-31
2015,Both,266,3.309732366822226,0.0409364731417179,0.1461802915702188,112,113,2015-01-01,2015-12-31
2016,Baseline,268,3.48097073381401,0.0227356980249187,0.1156637078358208,84,85,2016-01-01,2016-12-31
2016,RSI,268,3.117913808738315,0.0181253111673829,0.1037195977524145,84,85,2016-01-01,2016-12-31
2016,MACD,268,3.158614474403433,0.0185847405011556,0.1047014299435401,84,85,2016-01-01,2016-12-31
2016,Both,268,3.0017518868879147,0.0168637748742439,0.0994014090922341,84,85,2016-01-01,2016-12-31
2017,Baseline,267,3.6366069797556433,0.0391200964086713,0.1344590269662921,43,44,2017-01-02,2017-12-31
2017,RSI,267,3.34847183944392,0.0335417125137136,0.123601540733366,43,44,2017-01-02,2017-12-31
2017,MACD,267,3.239586764385198,0.0319050926701764,0.120434945495834,43,44,2017-01-02,2017-12-31
2017,Both,267,2.8827458778418675,0.0234233478043897,0.1079818209816007,43,44,2017-01-02,2017-12-31
2018,Baseline,269,3.7461645789855473,0.0623441463353143,0.1559569345724907,51,52,2018-01-01,2018-12-31
2018,RSI,269,2.9155574013704175,0.0522284449626058,0.1222967862196571,51,52,2018-01-01,2018-12-31
2018,MACD,269,3.004658832850877,0.0415216823209363,0.1242274804097569,51,52,2018-01-01,2018-12-31
2018,Both,269,2.9258574457497364,0.042468063696461,0.1224368655548663,51,52,2018-01-01,2018-12-31
2019,Baseline,271,3.94706105336657,0.0286979733127749,0.1349577136531365,57,58,2019-01-01,2019-12-31
2019,RSI,271,3.5108775019042726,0.0242080831669885,0.1222379705914712,57,58,2019-01-01,2019-12-31
2019,MACD,271,3.471485419905021,0.0242053088311219,0.1201533561791001,57,58,2019-01-01,2019-12-31
2019,Both,271,3.6196458448744098,0.0245463866095845,0.1236753335650116,57,58,2019-01-01,2019-12-31
2020,Baseline,271,4.160346231583665,0.1321272196746012,0.2547284394833948,107,108,2020-01-01,2020-12-31
2020,RSI,271,3.780674363556534,0.100321043214928,0.2249426340616937,107,108,2020-01-01,2020-12-31
2020,MACD,271,4.288343060284657,0.1470738051749283,0.2656023690973261,107,108,2020-01-01,2020-12-31
2020,Both,271,3.8644722924452815,0.1129208759893165,0.2292518707570994,107,108,2020-01-01,2020-12-31
2021,Baseline,272,4.28215932212365,0.3680452091560423,0.4654738823529411,82,83,2021-01-01,2021-12-31
2021,RSI,272,3.943875201252834,0.319974142208179,0.4284938025474548,82,83,2021-01-01,2021-12-31
2021,MACD,272,3.97043733301156,0.3262239399498059,0.4272919678688049,82,83,2021-01-01,2021-12-31
2021,Both,272,4.401117278626768,0.3849002560106042,0.4765333859359517,82,83,2021-01-01,2021-12-31
2022,Baseline,274,4.820190657722455,0.3234459437623737,0.471950445620438,105,106,2022-01-03,2022-12-31
2022,RSI,274,4.39436521643607,0.2733533731779635,0.4220598168616747,105,106,2022-01-03,2022-12-31
2022,MACD,274,3.710874535149517,0.1958476896430805,0.3559848143584536,105,106,2022-01-03,2022-12-31
2022,Both,274,3.3482503130557277,0.1546675193174298,0.3221768777387856,105,106,2022-01-03,2022-12-31
2023,Baseline,273,3.89716374237542,0.3565470001452444,0.4745829249084249,76,77,2023-01-02,2023-12-31
2023,RSI,273,3.2821994333836515,0.2690002049484933,0.4025887249677609,76,77,2023-01-02,2023-12-31
2023,MACD,273,3.401375159848088,0.2973832958587096,0.4183222118838802,76,77,2023-01-02,2023-12-31
2023,Both,273,3.4332863761164742,0.2965849741789903,0.4216952218415536,76,77,2023-01-02,2023-12-31
2024,Baseline,273,4.405006813866988,0.8089564653849395,0.7056313516483516,72,73,2024-01-01,2024-12-31
2024,RSI,273,4.413029420551494,0.9109325162081542,0.7219935459793705,72,73,2024-01-01,2024-12-31
2024,MACD,273,4.035270371877508,0.8007129165437841,0.6697893142700196,72,73,2024-01-01,2024-12-31
2024,Both,273,3.7346035760253167,0.6670990291200445,0.6167231592590556,72,73,2024-01-01,2024-12-31
2025,Baseline,268,5.64361854873601,2.742110230307663,1.2379137444029853,99,100,2025-01-01,2025-12-31
2025,RSI,268,5.833054799561448,3.0037445148338,1.297082837232903,99,100,2025-01-01,2025-12-31
2025,MACD,268,5.026816333888378,1.9305209787291056,1.073796084105079,99,100,2025-01-01,2025-12-31
2025,Both,268,4.725104967224939,1.823378848249374,1.0380765173328457,99,100,2025-01-01,2025-12-31
2026,Baseline,152,4.985865465418195,4.164558784890947,1.6145841447368414,59,60,2026-01-01,2026-07-23
2026,RSI,152,4.9949124325910494,4.328158765867206,1.6313086991561083,59,60,2026-01-01,2026-07-23
2026,MACD,152,4.642585468051776,3.7109535922363457,1.4930760453876697,59,60,2026-01-01,2026-07-23
2026,Both,152,5.077737392065478,4.712885847583628,1.6285027263039034,59,60,2026-01-01,2026-07-23
