Date,Year,Actual,Both
2015-01-01,2015,3.65,3.3057032
2015-01-02,2015,3.65,3.358032
2015-01-04,2015,3.65,3.3691187
2015-01-05,2015,3.65,3.5610194
2015-01-06,2015,3.75,3.620281
2015-01-07,2015,3.98,3.7773273
2015-01-08,2015,3.8,3.7538812
2015-01-09,2015,3.74,3.8140962
2015-01-12,2015,3.76,3.8255746
2015-01-13,2015,3.72,3.8447583
2015-01-14,2015,3.59,3.823437
2015-01-15,2015,3.63,3.6671016
2015-01-16,2015,3.77,3.632135
2015-01-19,2015,3.6,3.7449436
2015-01-20,2015,3.64,3.6027358
2015-01-21,2015,3.77,3.724506
2015-01-22,2015,3.92,3.7029629
2015-01-23,2015,3.84,3.7066214
2015-01-26,2015,3.87,3.6418614
2015-01-27,2015,3.79,3.8021262
2015-01-28,2015,3.74,3.8139246
2015-01-29,2015,3.65,3.7607732
2015-01-30,2015,3.59,3.6870975
2015-02-02,2015,3.58,3.5109544
2015-02-03,2015,3.63,3.2868338
2015-02-04,2015,3.54,3.596519
2015-02-05,2015,3.49,3.5432165
2015-02-06,2015,3.34,3.470312
2015-02-09,2015,3.31,3.4143338
2015-02-10,2015,3.37,3.444678
2015-02-11,2015,3.38,3.371466
2015-02-12,2015,3.37,3.470323
2015-02-13,2015,3.44,3.5707102
2015-02-15,2015,3.46,3.526007
2015-02-16,2015,3.46,3.4552243
2015-02-17,2015,3.49,3.4094515
2015-02-18,2015,3.42,3.3782191
2015-02-19,2015,3.42,3.4725356
2015-02-20,2015,3.42,3.4113126
2015-02-23,2015,3.42,3.3007085
2015-02-24,2015,3.42,3.3687587
2015-02-25,2015,3.42,3.3494973
2015-02-26,2015,3.52,3.362931
2015-02-27,2015,3.55,3.457606
2015-02-28,2015,3.64,3.4956493
2015-03-02,2015,3.64,3.419513
2015-03-03,2015,3.55,3.268639
2015-03-04,2015,3.54,3.5005689
2015-03-05,2015,3.46,3.462278
2015-03-06,2015,3.5,3.3206105
2015-03-09,2015,3.49,3.5281093
2015-03-10,2015,3.47,3.5194228
2015-03-11,2015,3.45,3.438452
2015-03-12,2015,3.48,3.4877167
2015-03-13,2015,3.5,3.498598
2015-03-16,2015,3.57,3.60598
2015-03-17,2015,3.67,3.645081
2015-03-18,2015,3.86,3.817431
2015-03-19,2015,3.91,3.7941616
2015-03-20,2015,3.88,4.0578327
2015-03-23,2015,4.0,3.9769235
2015-03-24,2015,4.4,4.0580053
2015-03-25,2015,4.52,4.0727706
2015-03-26,2015,4.41,4.0207562
2015-03-27,2015,4.43,4.459501
2015-03-30,2015,4.45,4.5194755
2015-03-31,2015,4.32,4.53052
2015-04-01,2015,4.36,4.3778105
2015-04-02,2015,4.44,4.4188633
2015-04-03,2015,4.46,4.5325527
2015-04-06,2015,4.56,4.501901
2015-04-07,2015,4.56,4.5994844
2015-04-08,2015,4.47,4.611881
2015-04-09,2015,4.33,4.390906
2015-04-10,2015,4.38,4.34321
2015-04-13,2015,4.47,4.3296976
2015-04-14,2015,4.62,4.41325
2015-04-15,2015,4.6,4.379373
2015-04-16,2015,4.86,4.5174103
2015-04-17,2015,5.0,4.6796427
2015-04-20,2015,5.2,4.804859
2015-04-21,2015,5.24,5.0865993
2015-04-22,2015,5.76,5.351793
2015-04-23,2015,5.76,5.385506
2015-04-24,2015,5.76,5.545571
2015-04-27,2015,5.76,5.804176
2015-04-28,2015,5.76,5.7734013
2015-04-29,2015,5.76,5.914979
2015-04-30,2015,5.76,5.9389396
2015-05-01,2015,5.76,5.463423
2015-05-04,2015,5.76,5.4526296
2015-05-05,2015,5.76,5.1443734
2015-05-06,2015,5.76,5.58481
2015-05-07,2015,5.76,5.3894653
2015-05-08,2015,5.76,5.5686088
2015-05-11,2015,5.76,5.700052
2015-05-12,2015,5.76,5.635807
2015-05-13,2015,5.76,5.573353
