Year,Start,End,N,MAPE,Updates_excluding_initial,File
2015,2015-01-01,2015-12-31,266,3.3097325366161847,112,2015_combined_prediction.png
2016,2016-01-01,2016-12-31,268,3.0017519159846286,84,2016_combined_prediction.png
2017,2017-01-02,2017-12-31,267,2.882745906044971,43,2017_combined_prediction.png
2018,2018-01-01,2018-12-31,269,2.9258577384245417,51,2018_combined_prediction.png
2019,2019-01-01,2019-12-31,271,3.6196458309185635,57,2019_combined_prediction.png
2020,2020-01-01,2020-12-31,271,3.864472214623786,107,2020_combined_prediction.png
2021,2021-01-01,2021-12-31,272,4.401117233475307,82,2021_combined_prediction.png
2022,2022-01-03,2022-12-31,274,3.3482505646187515,105,2022_combined_prediction.png
2023,2023-01-02,2023-12-31,273,3.433286108241545,76,2023_combined_prediction.png
2024,2024-01-01,2024-12-31,273,3.734603584907496,72,2024_combined_prediction.png
2025,2025-01-01,2025-12-31,268,4.725104863002748,99,2025_combined_prediction.png
2026,2026-01-01,2026-07-23,152,5.077737363075268,59,2026_combined_prediction.png
