Method,Effective_date,Trigger_date,Seed,N,Applied_end,Year
Features_and_triggers,2018-01-03,2018-01-02,965409,15,2018-01-23,2018
Features_and_triggers,2018-01-24,2018-01-23,374583,1,2018-01-24,2018
Features_and_triggers,2018-01-25,2018-01-24,374583,10,2018-02-07,2018
Features_and_triggers,2018-02-08,2018-02-07,42716,2,2018-02-09,2018
Features_and_triggers,2018-02-11,2018-02-09,42716,1,2018-02-11,2018
Features_and_triggers,2018-02-12,2018-02-11,42716,3,2018-02-14,2018
Features_and_triggers,2018-02-15,2018-02-14,798291,17,2018-03-08,2018
Features_and_triggers,2018-03-09,2018-03-08,798291,1,2018-03-09,2018
Features_and_triggers,2018-03-12,2018-03-09,385735,7,2018-03-20,2018
Features_and_triggers,2018-03-21,2018-03-20,385735,1,2018-03-21,2018
Features_and_triggers,2018-03-22,2018-03-21,42716,1,2018-03-22,2018
Features_and_triggers,2018-03-23,2018-03-22,42716,3,2018-03-27,2018
Features_and_triggers,2018-03-28,2018-03-27,385735,17,2018-04-18,2018
Features_and_triggers,2018-04-19,2018-04-18,385735,1,2018-04-19,2018
Features_and_triggers,2018-04-20,2018-04-19,385735,34,2018-06-05,2018
Features_and_triggers,2018-06-06,2018-06-05,385735,7,2018-06-14,2018
Features_and_triggers,2018-06-15,2018-06-14,385735,2,2018-06-18,2018
Features_and_triggers,2018-06-19,2018-06-18,385735,1,2018-06-19,2018
Features_and_triggers,2018-06-20,2018-06-19,385735,1,2018-06-20,2018
Features_and_triggers,2018-06-21,2018-06-20,385735,1,2018-06-21,2018
Features_and_triggers,2018-06-22,2018-06-21,385735,1,2018-06-22,2018
Features_and_triggers,2018-06-25,2018-06-22,385735,1,2018-06-25,2018
Features_and_triggers,2018-06-26,2018-06-25,385735,4,2018-06-29,2018
Features_and_triggers,2018-07-02,2018-06-29,385735,1,2018-07-02,2018
Features_and_triggers,2018-07-03,2018-07-02,385735,2,2018-07-04,2018
Features_and_triggers,2018-07-05,2018-07-04,565766,1,2018-07-05,2018
Features_and_triggers,2018-07-06,2018-07-05,565766,2,2018-07-09,2018
Features_and_triggers,2018-07-10,2018-07-09,565766,11,2018-07-24,2018
Features_and_triggers,2018-07-25,2018-07-24,385735,9,2018-08-06,2018
Features_and_triggers,2018-08-07,2018-08-06,385735,1,2018-08-07,2018
Features_and_triggers,2018-08-08,2018-08-07,385735,6,2018-08-15,2018
Features_and_triggers,2018-08-16,2018-08-15,374583,1,2018-08-16,2018
Features_and_triggers,2018-08-17,2018-08-16,374583,1,2018-08-17,2018
Features_and_triggers,2018-08-20,2018-08-17,374583,1,2018-08-20,2018
Features_and_triggers,2018-08-21,2018-08-20,374583,10,2018-09-03,2018
Features_and_triggers,2018-09-04,2018-09-03,550343,2,2018-09-05,2018
Features_and_triggers,2018-09-06,2018-09-05,965409,12,2018-09-21,2018
Features_and_triggers,2018-09-24,2018-09-21,785634,6,2018-09-29,2018
Features_and_triggers,2018-09-30,2018-09-29,785634,4,2018-10-03,2018
Features_and_triggers,2018-10-04,2018-10-03,741131,1,2018-10-04,2018
Features_and_triggers,2018-10-05,2018-10-04,741131,5,2018-10-11,2018
Features_and_triggers,2018-10-12,2018-10-11,550343,1,2018-10-12,2018
Features_and_triggers,2018-10-15,2018-10-12,550343,1,2018-10-15,2018
Features_and_triggers,2018-10-16,2018-10-15,550343,4,2018-10-19,2018
Features_and_triggers,2018-10-22,2018-10-19,550343,7,2018-10-30,2018
Features_and_triggers,2018-10-31,2018-10-30,741131,2,2018-11-01,2018
Features_and_triggers,2018-11-02,2018-11-01,741131,33,2018-12-18,2018
Features_and_triggers,2018-12-19,2018-12-18,374583,1,2018-12-19,2018
Features_and_triggers,2018-12-20,2018-12-19,374583,8,2018-12-29,2018
Features_and_triggers,2018-12-30,2018-12-29,374583,1,2018-12-30,2018
Features_and_triggers,2018-12-31,2018-12-30,374583,1,2018-12-31,2018
